sku,Total_Revenue,Total_Quantity,ASP
AN201-RED-M,458.0,2,229.0
AN201-RED-XL,602.0,2,301.0
AN201-RED-XXL,229.0,1,229.0
AN202-ORANGE-M,530.0,2,265.0
AN202-ORANGE-S,1141.0,4,285.25
AN202-ORANGE-XXL,229.0,1,229.0
AN203-MAROON-XXL,301.0,1,301.0
AN204-PURPLE-L,1569.3400000000001,3,523.1133333333333
AN204-PURPLE-M,322.0,1,322.0
AN204-PURPLE-S,322.0,1,322.0
AN204-PURPLE-XL,306.67,0,inf
AN204-PURPLE-XXL,644.0,2,322.0
AN205-YELLOW-S,723.0,3,241.0
AN205-YELLOW-XL,903.0,3,301.0
AN205-YELLOW-XXL,301.0,1,301.0
AN206-GREEN-M,249.0,1,249.0
AN206-GREEN-S,301.0,1,301.0
AN206-GREEN-XL,301.0,1,301.0
AN207-PINK-L,322.0,1,322.0
AN207-PINK-S,322.0,1,322.0
AN207-PINK-XXL,322.0,1,322.0
AN208-MUSTARD-L,301.0,1,301.0
AN208-MUSTARD-M,229.0,1,229.0
AN208-MUSTARD-S,834.0,1,834.0
AN208-MUSTARD-XL,530.0,2,265.0
AN208-MUSTARD-XXL,1058.1,3,352.7
AN209-BIEGE-XL,1373.0,5,274.6
AN209-BIEGE-XXL,229.0,1,229.0
AN210-NAVY-M,286.67,0,inf
AN210-NAVY-XL,301.0,1,301.0
AN211-BLACK-L,1806.0,6,301.0
AN211-BLACK-S,903.0,3,301.0
AN211-BLACK-XL,301.0,1,301.0
AN211-BLACK-XXL,1204.0,4,301.0
AN212-WHITE-L,322.0,1,322.0
AN212-WHITE-M,312.0,1,312.0
AN212-WHITE-S,312.0,1,312.0
AN212-WHITE-XL,644.0,2,322.0
AN212-WHITE-XXL,322.0,1,322.0
AN213-BROWN-L,1490.67,4,372.6675
AN213-BROWN-M,587.6700000000001,1,587.6700000000001
AN213-BROWN-S,2264.0,8,283.0
AN213-BROWN-XL,301.0,1,301.0
BL001-50PINK,419.0,1,419.0
BL003-50BLACK,1443.0,2,721.5
BL003-50BLACK-B,2906.05,6,484.3416666666667
BL004-50CHIKU-B,419.0,1,419.0
BL006-54BLACK,3292.76,6,548.7933333333334
BL006-54BLACK-B,383.0,1,383.0
BL007-61PINK-B,1017.0,3,339.0
BL008-61RED-B,678.0,2,339.0
BL009-61BLACK,1705.0,5,341.0
BL009-61BLACK-B,5587.86,15,372.524
BL010-61CHIKU-B,838.0,2,419.0
BL011-62PINK-B,372.0,1,372.0
BL013-62BLACK,5332.0,11,484.72727272727275
BL015-63PINK,758.0,2,379.0
BL016-63RED-B,385.0,1,385.0
BL017-63BLACK,984.0,16,61.5
BL017-63BLACK-B,379.0,1,379.0
BL019-71PINK,837.0,2,418.5
BL019-71PINK-B,1236.1,2,618.05
BL020-71RED,605.0,2,302.5
BL020-71RED-B,419.0,1,419.0
BL021-71BLACK,20375.0,42,485.1190476190476
BL021-71BLACK-B,1237.05,2,618.525
BL022-71BEIGE,2094.0,5,418.8
BL023-74PINK-B,383.0,1,383.0
BL024-74RED,383.0,1,383.0
BL024-74RED-B,771.0,2,385.5
BL025-74BLACK,388.0,1,388.0
BL025-74BLACK-B,1920.0,5,384.0
BL026-74BEIGE,383.0,1,383.0
BL026-74BEIGE-B,766.0,2,383.0
BL029-78BLACK,818.05,1,818.05
BL029-78BLACK-B,1676.0,4,419.0
BL035-161GOLD,8110.0,20,405.5
BL036-176GOLD,4561.2,9,506.79999999999995
BL041-65RED-A,2299.76,5,459.95200000000006
BL050-83RED-A,379.0,1,379.0
BL053-153GOLD-A,764.0,2,382.0
BL055-164GOLD-A,758.0,2,379.0
BL056-185GOLD,383.0,1,383.0
BL057-65BLACK-A,7186.18,15,479.07866666666666
BL060-75RED,419.0,1,419.0
BL073-85BLACK,429.0,1,429.0
BL074-85RED,429.0,1,429.0
BL075-85CHIKU,436.0,1,436.0
BL079-87RED,865.0,2,432.5
BL085-S,460.0,1,460.0
BL086-XL,568.0,2,284.0
BL086-XXL,568.0,2,284.0
BL087-L,647.0,1,647.0
BL087-M,1419.0,3,473.0
BL087-S,647.0,1,647.0
BL087-XS,920.0,2,460.0
BL087-XXL,920.0,2,460.0
BL089-M,301.0,1,301.0
BL089-XS,301.0,1,301.0
BL089-XXL,273.0,1,273.0
BL090-M,1419.0,3,473.0
BL090-S,499.0,2,249.5
BL090-XS,0.0,1,0.0
BL090-XXL,460.0,1,460.0
BL091-XL,605.0,0,inf
BL093-M,301.0,1,301.0
BL093-S,273.0,1,273.0
BL095-M,460.0,1,460.0
BL095-XL,460.0,1,460.0
BL096-S,229.0,1,229.0
BL096-XL,301.0,1,301.0
BL098-M,372.0,1,372.0
BL098-S,2181.0,5,436.2
BL098-XL,602.0,2,301.0
BL098-XS,419.0,1,419.0
BL098-XXL,1207.0,2,603.5
BL099-L,560.0,2,280.0
BL099-S,777.0,3,259.0
BL099-XS,259.0,1,259.0
BL100-M,259.0,1,259.0
BL100-S,777.0,3,259.0
BL100-XL,560.0,2,280.0
BL100-XXL,1210.0,0,inf
BL101-M,498.0,2,249.0
BL101-S,498.0,2,249.0
BL101-XS,498.0,2,249.0
BL101-XXL,249.0,1,249.0
BL102-L,518.0,2,259.0
BL102-M,1036.0,4,259.0
BL102-S,518.0,2,259.0
BL102-XS,259.0,1,259.0
BL103-L,2417.0,5,483.4
BL103-M,499.0,1,499.0
BL103-S,2462.1,3,820.6999999999999
BL103-XL,4779.0,9,531.0
BL103-XS,2423.1,3,807.6999999999999
BL103-XXL,4678.0,10,467.8
BL104-L,6045.62,10,604.562
BL104-M,1720.0,3,573.3333333333334
BL104-S,3599.0,6,599.8333333333334
BL104-XL,973.3299999999999,0,inf
BL104-XS,493.0,1,493.0
BL104-XXL,2008.0,4,502.0
BL107-M,642.3299999999999,1,642.3299999999999
BL107-S,967.0,3,322.3333333333333
BL107-XL,319.0,1,319.0
BL107-XS,959.0,3,319.6666666666667
BL107-XXL,311.0,1,311.0
BL109-L,4125.0,8,515.625
BL109-M,4817.0,7,688.1428571428571
BL109-S,487.0,1,487.0
BL109-XL,1852.0,2,926.0
BL109-XS,1036.0,2,518.0
BL109-XXL,3133.0,5,626.6
BL110-L,4380.62,12,365.0516666666667
BL110-M,682.0,2,341.0
BL110-S,1643.0,5,328.6
BL110-XL,658.0,2,329.0
BL110-XS,934.0,1,934.0
BL110-XXL,646.3299999999999,1,646.3299999999999
BL111-L,1141.0,4,285.25
BL111-M,882.0,3,294.0
BL111-S,840.0,3,280.0
BL111-XL,301.0,1,301.0
BL111-XS,602.0,2,301.0
BL113-L,1449.0,4,362.25
BL113-M,1098.0,2,549.0
BL113-S,1479.0,4,369.75
BL113-XL,3563.0,6,593.8333333333334
BL113-XS,1972.0,4,493.0
BL113-XXL,1479.0,3,493.0
BTM002-B-L,518.0,1,518.0
BTM002-B-M,2801.0,5,560.2
BTM002-B-XL,518.0,1,518.0
BTM002-B-XXL,2420.0,0,inf
BTM002-B-XXXL,518.0,1,518.0
BTM002-L,518.0,1,518.0
BTM002-S,1036.0,2,518.0
BTM002-XL,1036.0,2,518.0
BTM002-XXXL,518.0,1,518.0
BTM003-B-L,0.0,1,0.0
BTM003-B-XXXL,518.0,1,518.0
BTM003-M,518.0,1,518.0
BTM003-XXXL,518.0,1,518.0
BTM004-XXXL,349.0,1,349.0
BTM005-B-L,518.0,1,518.0
BTM005-L,518.0,1,518.0
BTM005-XXL,518.0,1,518.0
BTM005-XXXL,518.0,1,518.0
BTM008-B-L,1036.0,2,518.0
BTM008-B-M,1036.0,2,518.0
BTM008-B-XXL,1036.0,2,518.0
BTM008-L,518.0,1,518.0
BTM008-XL,1036.0,2,518.0
BTM008-XXL,1036.0,2,518.0
BTM008-XXXL,518.0,1,518.0
BTM021-B-L,518.0,1,518.0
BTM021-B-XS,518.0,2,259.0
BTM021-B-XXL,518.0,1,518.0
BTM021-B-XXXL,518.0,1,518.0
BTM026-NP-L,1036.0,2,518.0
BTM026-NP-M,518.0,2,259.0
BTM026-NP-S,518.0,1,518.0
BTM026-NP-XL,1036.0,2,518.0
BTM026-NP-XS,518.0,1,518.0
BTM026-NP-XXL,729.0,1,729.0
BTM026-NP-XXXL,1036.0,2,518.0
BTM027-NP-L,493.34,0,inf
BTM027-NP-XXL,518.0,1,518.0
BTM027-NP-XXXL,1554.0,3,518.0
